Brand,OriginalPrice,Description
VANESSA BRUNO,795.0,Jacket
VERONICA BEARD,752.8571428571429,Jacket
VERSACE,2602.8571428571427,Jacket
VETEMENTS,1277.5,Jacket
VICTORIA BECKHAM,1700.0,Jacket
"VICTORIA, VICTORIA BECKHAM",447.5,Jacket
VINCE,520.0,Jacket
VIVIENNE WESTWOOD,1012.5,Jacket
WALES BONNER,1795.0,Jacket
WE ARE LEONE,506.0,Jacket
WE11DONE,824.375,Jacket
WRIGHT LE CHAPELAIN,1079.0,Jacket
YVES SALOMON,2600.0,Jacket
ZIMMERMANN,1700.0,Jacket
