Brand,Category,OriginalPrice,SalePrice
CAMI NYC,Pants,363.0,149.4
CAMI NYC,Skirt,330.0,164.5
CAROLINA HERRERA,Jacket,2515.67,872.33
CAROLINA HERRERA,Top,1170.0,390.22
CAROLINA HERRERA,Pants,1321.0,483.33
CAROLINA HERRERA,Skirt,1868.09,649.64
CAROLINE CONSTAS,Top,394.11,184.29
CAROLINE CONSTAS,Skirt,501.67,256.67
CASASOLA,Top,725.0,362.0
CECILIE BAHNSEN,Dress,470.0,202.0
CECILIE BAHNSEN,Pants,725.0,326.0
CEFINN,Skirt,220.0,99.0
CEFINN,Top,270.0,146.25
CHLOÉ,Dress,2476.3,953.05
CHLOÉ,Top,1260.67,467.98
CHLOÉ,Pants,1226.53,452.33
CHLOÉ,Skirt,1441.33,533.33
CHLOÉ,Jacket,2337.78,853.89
CHRISTOPHER KANE,Top,639.29,284.86
CHRISTOPHER KANE,Skirt,854.17,401.83
CHRISTOPHER KANE,Jacket,1511.67,647.0
CO,Skirt,1122.14,419.0
CO,Pants,644.38,287.88
CO,Top,602.43,282.48
COMMANDO,Top,95.0,48.0
COSTARELLOS,Top,600.0,299.5
CURRENT/ELLIOTT,Pants,527.14,238.57
CURRENT/ELLIOTT,Top,221.72,97.0
CUSHNIE,Top,677.79,282.39
CUSHNIE,Skirt,771.67,385.67
CUSHNIE,Pants,770.0,332.14
CUSHNIE,Jacket,1532.5,571.0
DAVID KOMA,Top,1089.0,431.33
DAVID KOMA,Skirt,1157.5,513.5
DE LA VALI,Dress,536.39,275.33
DE LA VALI,Top,350.0,175.33
DE LA VALI,Pants,824.0,354.0
DE LA VALI,Jacket,582.67,282.33
DEITAS,Dress,698.33,329.0
DEITAS,Top,460.0,230.0
DEREK LAM,Pants,773.0,334.5
DEREK LAM,Top,791.11,338.39
DEREK LAM,Skirt,904.33,372.0
DIANE VON FURSTENBERG,Pants,355.9,164.75
DIANE VON FURSTENBERG,Skirt,350.7,161.1
DIANE VON FURSTENBERG,Jacket,634.33,275.67
DIANE VON FURSTENBERG,Top,336.1,164.0
DION LEE,Skirt,535.0,197.0
DION LEE,Pants,605.0,223.0
DION LEE,Top,388.33,181.0
DODO BAR OR,Top,341.67,189.89
DODO BAR OR,Pants,214.0,128.0
DODO BAR OR,Skirt,316.83,178.17
DOLCE & GABBANA,Top,1141.84,538.72
DOLCE & GABBANA,Pants,1089.17,438.08
DOLCE & GABBANA,Jacket,2456.94,1085.39
DOLCE & GABBANA,Skirt,1701.58,783.74
DOUBLE RAINBOUU,Top,203.0,96.8
ELLERY,Top,581.5,279.3
ELLERY,Jacket,1100.0,550.0
ELLERY,Pants,1047.5,424.5
EMILIA WICKSTEAD,Top,603.33,277.83
EMILIA WICKSTEAD,Pants,758.12,365.5
EMILIA WICKSTEAD,Skirt,1305.0,463.75
EMILIO PUCCI,Pants,818.93,344.33
EMILIO PUCCI,Top,795.99,328.99
EQUIPMENT,Pants,449.86,218.71
EQUIPMENT,Top,338.53,151.15
ERDEM,Top,956.33,391.6
ERDEM,Skirt,1470.13,559.8
ERDEM,Pants,830.0,415.0
ERES,Pants,340.0,238.0
ETRO,Top,726.26,315.74
ETRO,Skirt,1374.0,529.7
ETRO,Jacket,4236.5,1566.75
ETRO,Pants,736.67,315.14
FENDI,Top,1529.0,801.0
FIGUE,Top,444.08,155.62
FIGUE,Pants,401.17,145.17
FLEUR DU MAL,Skirt,451.67,207.67
FLEUR DU MAL,Top,291.4,126.6
FLEUR DU MAL,Pants,392.5,192.5
FORTE_FORTE,Pants,385.83,181.67
FORTE_FORTE,Skirt,487.5,240.0
FORTE_FORTE,Jacket,543.18,257.64
FORTE_FORTE,Top,271.67,128.44
FRAME,Skirt,478.09,255.73
FRAME,Pants,470.26,222.62
FRAME,Top,270.7,142.25
FRAME,Jacket,586.2,291.04
GABRIELA HEARST,Top,1150.0,288.0
GABRIELA HEARST,Pants,982.5,491.0
GABRIELA HEARST,Skirt,915.0,447.0
GABRIELA HEARST,Jacket,2230.0,892.0
GANNI,Top,149.8,76.57
GANNI,Pants,199.91,98.41
GANNI,Skirt,218.38,110.5
GANNI,Dress,264.41,131.44
GANNI,Jacket,380.83,185.92
GEORGIA ALICE,Top,385.0,135.75
GEORGIA ALICE,Pants,592.5,296.5
GIAMBATTISTA VALLI,Skirt,1966.38,733.15
GIAMBATTISTA VALLI,Top,1354.46,537.04
GIAMBATTISTA VALLI,Dress,3082.92,1196.18
GIVENCHY,Top,1386.67,727.58
GIVENCHY,Jacket,2019.44,1111.0
GIVENCHY,Skirt,1783.75,858.62
GIVENCHY,Dress,2698.82,1434.82
GIVENCHY,Pants,1215.6,658.2
GRLFRND,Skirt,220.0,110.0
GUCCI,Top,1010.0,606.0
GUCCI,Pants,1480.0,888.0
HAIDER ACKERMANN,Jacket,1535.33,655.27
HAIDER ACKERMANN,Skirt,898.0,432.4
HAIDER ACKERMANN,Dress,1241.69,546.08
HAIDER ACKERMANN,Pants,869.42,373.58
HAIDER ACKERMANN,Top,727.65,344.88
HANEY,Pants,1501.67,497.33
HANEY,Top,1286.25,525.0
HATCH,Top,205.0,93.5
HELLESSY,Pants,815.0,408.0
HELMUT LANG,Skirt,590.62,270.75
HELMUT LANG,Pants,523.86,245.14
HELMUT LANG,Jacket,815.83,368.83
HELMUT LANG,Top,291.59,127.24
HERVÉ LÉGER,Jacket,1105.0,442.0
HERVÉ LÉGER,Skirt,1057.4,454.4
HERVÉ LÉGER,Top,817.2,363.1
HOUSE OF HOLLAND,Skirt,325.71,174.57
HOUSE OF HOLLAND,Top,181.12,102.25
HOUSE OF HOLLAND,Jacket,458.0,223.8
IRO,Jacket,775.44,327.73
IRO,Top,289.59,128.79
IRO,Pants,590.69,253.25
IRO,Skirt,361.14,170.34
ISABEL MARANT,Jacket,852.5,426.0
ISABEL MARANT,Dress,760.0,319.0
ISABEL MARANT,Top,591.67,295.67
ISABEL MARANT,Pants,610.0,261.0
ISABEL MARANT ÉTOILE,Top,368.0,193.6
ISABEL MARANT ÉTOILE,Jacket,350.0,175.0
ISABEL MARANT ÉTOILE,Pants,312.5,156.0
ISABEL MARANT ÉTOILE,Skirt,565.0,333.0
J BRAND,Pants,476.76,223.29
J BRAND,Top,261.67,130.5
J.CREW,Top,125.0,57.0
J.CREW,Skirt,230.0,115.0
J.CREW,Pants,110.0,55.0
JACQUEMUS,Pants,560.0,112.0
JACQUEMUS,Dress,737.5,364.0
JAMES PERSE,Pants,287.5,119.5
JAMES PERSE,Top,114.33,48.67
JAMES PERSE,Skirt,220.0,110.0
JASON WU,Jacket,960.5,492.5
JASON WU,Top,789.48,327.43
JASON WU,Pants,897.75,333.5
JENNY PACKHAM,Pants,1205.0,506.0
JENNY PACKHAM,Top,1435.67,578.33
JIL SANDER,Pants,812.29,317.42
JIL SANDER,Skirt,1233.1,479.24
JIL SANDER,Top,748.78,298.7
JIL SANDER,Dress,1114.74,464.95
JIL SANDER,Jacket,1836.25,710.0
JOHANNA ORTIZ,Pants,1318.75,521.25
JOHANNA ORTIZ,Skirt,1608.75,710.38
JOHANNA ORTIZ,Jacket,1691.67,732.33
JOHANNA ORTIZ,Top,922.6,400.0
JONATHAN SIMKHAI,Pants,645.0,273.75
JONATHAN SIMKHAI,Top,542.0,209.56
JONATHAN SIMKHAI,Skirt,517.67,210.17
JOSEPH,Pants,369.81,167.9
JOSEPH,Jacket,794.17,384.17
JOSEPH,Top,330.48,152.96
JOSEPH,Skirt,428.5,188.7
KARL DONOGHUE,Jacket,1157.5,646.5
KENZO,Pants,321.67,160.67
KENZO,Top,410.0,205.2
KENZO,Jacket,300.0,150.0
KHAITE,Pants,715.6,349.3
KHAITE,Top,567.27,281.18
KHAITE,Jacket,1358.33,647.0
KHAITE,Skirt,920.0,395.0
KIKI DE MONTPARNASSE,Top,376.0,187.6
KSUBI,Jacket,292.5,160.5
KSUBI,Top,142.14,78.0
KSUBI,Skirt,195.0,107.0
L'AGENCE,Pants,255.0,127.0
L'AGENCE,Top,313.27,155.13
L'AGENCE,Jacket,478.55,206.36
L'AGENCE,Skirt,263.5,103.5
LA LIGNE,Pants,356.67,168.67
LA LIGNE,Top,224.55,108.82
LELA ROSE,Dress,1870.21,806.63
LELA ROSE,Pants,756.55,318.82
LELA ROSE,Top,1084.76,507.71
LEMLEM,Top,278.0,108.5
LES RÊVERIES,Dress,591.67,300.0
LISA MARIE FERNANDEZ,Skirt,512.5,256.0
LOEWE,Pants,930.0,418.0
LOEWE,Skirt,590.0,354.0
LOEWE,Jacket,1295.0,777.0
LOEWE,Top,662.5,414.0
LOVESHACKFANCY,Top,146.0,62.0
M.I.H JEANS,Top,225.71,69.0
MACKINTOSH,Jacket,985.0,462.0
MAGDA BUTRYM,Top,724.0,363.4
MAGDA BUTRYM,Jacket,1484.0,626.6
MAGDA BUTRYM,Pants,690.0,324.5
MAGGIE MARILYN,Top,350.0,105.0
MAGGIE MARILYN,Pants,382.0,182.2
MAGGIE MARILYN,Skirt,386.67,139.67
MAISON MARGIELA,Jacket,1352.33,652.0
MAISON MARGIELA,Skirt,1723.0,582.0
MAISON MARGIELA,Pants,703.0,312.33
MAISON MARGIELA,Top,697.33,336.33
MAJE,Pants,196.25,116.75
MAJE,Skirt,208.08,120.31
MAJE,Jacket,338.12,199.62
MAJE,Top,169.32,101.11
MANSUR GAVRIEL,Pants,425.0,218.09
MANSUR GAVRIEL,Top,354.09,188.0
MARC JACOBS,Top,481.88,240.62
MARCHESA,Top,1235.0,370.0
MARNI,Top,744.15,278.61
MARNI,Skirt,807.68,288.5
MARNI,Jacket,1290.23,519.0
MARNI,Pants,715.09,268.91
MARQUES' ALMEIDA,Top,393.0,170.3
MARQUES' ALMEIDA,Skirt,446.88,198.38
MARQUES' ALMEIDA,Pants,521.25,232.5
MARQUES' ALMEIDA,Jacket,490.0,220.0
MARY KATRANTZOU,Top,847.5,419.25
MARY KATRANTZOU,Skirt,919.0,482.8
MARY KATRANTZOU,Pants,1115.0,539.5
MATTHEW ADAMS DOLAN,Top,650.0,292.0
MATTHEW ADAMS DOLAN,Jacket,905.0,388.5
MAX MARA,Top,481.67,239.0
MES DEMOISELLES,Top,240.0,120.0
MICHAEL KORS COLLECTION,Pants,725.5,267.8
MICHAEL KORS COLLECTION,Jacket,1734.0,522.8
MICHAEL KORS COLLECTION,Skirt,992.5,352.75
MICHAEL KORS COLLECTION,Top,736.43,265.5
MICHAEL LO SORDO,Top,343.75,163.5
MICHAEL LO SORDO,Jacket,475.0,237.0
MICHAEL LO SORDO,Pants,395.0,197.5
MICHAEL LO SORDO,Skirt,340.0,169.67
MICHAEL MICHAEL KORS,Pants,337.69,150.38
MICHAEL MICHAEL KORS,Top,208.27,100.81
MICHAEL MICHAEL KORS,Skirt,340.0,168.0
MICHAEL MICHAEL KORS,Jacket,483.65,240.42
MICHELLE MASON,Top,417.27,180.64
MICHELLE MASON,Pants,460.0,208.91
MICHELLE MASON,Skirt,490.0,220.0
MIGUELINA,Top,269.17,115.67
MIGUELINA,Skirt,338.33,168.5
MIGUELINA,Pants,340.0,102.0
MISSONI,Pants,987.39,357.02
MISSONI,Jacket,1513.73,561.64
MISSONI,Skirt,856.5,391.05
MISSONI,Top,607.5,251.38
MIU MIU,Top,887.92,438.25
MIU MIU,Skirt,490.0,294.0
MIU MIU,Pants,778.33,406.33
MIU MIU,Jacket,1981.67,903.33
MM6 MAISON MARGIELA,Jacket,859.0,388.5
MM6 MAISON MARGIELA,Top,412.5,217.17
MM6 MAISON MARGIELA,Pants,379.5,180.25
MONSE,Jacket,2250.0,1012.0
MONSE,Pants,917.0,400.4
MONSE,Top,1400.0,630.0
MOSCHINO,Skirt,618.57,312.29
MOSCHINO,Pants,740.83,338.67
MOSCHINO,Jacket,877.5,428.0
MOSCHINO,Top,484.58,246.0
MOTHER,Skirt,286.67,143.0
MOTHER OF PEARL,Jacket,622.5,294.5
MOTHER OF PEARL,Skirt,462.5,242.0
MOTHER OF PEARL,Top,371.82,190.73
MOTHER OF PEARL,Pants,435.0,226.5
MUGLER,Top,617.67,310.33
MUGLER,Skirt,801.07,393.71
MUGLER,Jacket,1228.5,607.0
MUGLER,Pants,861.32,410.26
NAEEM KHAN,Pants,1675.0,837.0
NANUSHKA,Top,296.15,164.54
NANUSHKA,Jacket,427.5,207.0
NANUSHKA,Pants,386.92,209.46
NANUSHKA,Skirt,377.5,208.5
NEEDLE & THREAD,Top,165.0,99.0
NICHOLAS,Top,314.0,144.2
NICHOLAS,Skirt,376.25,158.17
NICHOLAS,Pants,391.25,142.62
NILI LOTAN,Pants,749.0,337.5
NINETY PERCENT,Pants,128.33,77.0
NINETY PERCENT,Skirt,84.5,50.7
NINETY PERCENT,Top,80.22,48.13
NOIR KEI NINOMIYA,Jacket,1035.0,476.0
NORMA KAMALI,Pants,184.25,91.0
NORMA KAMALI,Top,159.2,73.2
NORMA KAMALI,Jacket,341.83,152.17
OLIVIA VON HALLE,Pants,485.0,242.0
OSCAR DE LA RENTA,Top,1539.76,570.63
OSCAR DE LA RENTA,Pants,1260.81,474.76
OSCAR DE LA RENTA,Dress,2869.25,1080.77
OSCAR DE LA RENTA,Jacket,2514.47,964.63
P.E NATION,Pants,265.0,132.0
PACO RABANNE,Dress,935.26,451.16
PACO RABANNE,Jacket,605.0,268.75
PACO RABANNE,Skirt,651.54,304.38
PACO RABANNE,Top,657.86,302.5
PACO RABANNE,Pants,451.11,223.0
PARADISED,Top,85.0,44.0
PAUL & JOE,Top,353.33,184.17
PAUL & JOE,Skirt,320.0,160.0
PAUL & JOE,Pants,325.0,162.0
PETAR PETROV,Pants,550.0,110.0
PETAR PETROV,Skirt,1100.0,539.0
PETAR PETROV,Top,787.5,389.5
PETAR PETROV,Jacket,1121.25,487.75
PETER PILOTTO,Pants,778.89,348.67
PETER PILOTTO,Top,746.11,316.0
PETER PILOTTO,Dress,1684.5,641.97
PETER PILOTTO,Skirt,1155.0,468.47
PETER PILOTTO,Jacket,1571.25,633.5
PRADA,Top,754.0,483.2
PRADA,Dress,1854.55,1048.18
PRADA,Skirt,978.57,549.14
PRADA,Jacket,1822.73,1041.64
PRADA,Pants,880.0,499.33
PREEN LINE,Skirt,345.0,164.43
PREEN LINE,Top,307.5,165.5
PROENZA SCHOULER,Jacket,2106.67,733.0
PROENZA SCHOULER,Pants,758.75,341.12
PROENZA SCHOULER,Skirt,1468.75,528.62
PROENZA SCHOULER,Top,605.83,270.83
PROENZA SCHOULER,Dress,1795.45,722.95
PUSHBUTTON,Dress,530.0,364.0
PUSHBUTTON,Skirt,460.75,230.5
PUSHBUTTON,Top,412.3,197.4
PUSHBUTTON,Jacket,694.33,335.0
PUSHBUTTON,Pants,430.5,209.25
R13,Top,389.5,194.4
R13,Pants,470.0,235.0
R13,Jacket,758.33,378.67
RACHEL ZOE,Pants,386.5,185.0
RACHEL ZOE,Top,301.43,132.14
RACHEL ZOE,Skirt,356.0,178.0
RACHEL ZOE,Jacket,426.5,201.0
RACIL,Top,389.67,170.53
RACIL,Pants,473.5,220.0
RACIL,Jacket,863.84,403.58
RAG & BONE,Top,215.15,98.59
RAG & BONE,Pants,527.48,224.27
RAG & BONE,Skirt,366.67,173.83
RAG & BONE,Jacket,688.5,312.23
RE/DONE,Pants,269.0,104.75
RE/DONE,Skirt,290.0,159.0
RE/DONE,Top,177.4,86.2
RE/DONE,Jacket,481.33,248.0
REBECCA VALLANCE,Pants,275.0,137.0
REBECCA VALLANCE,Top,230.0,91.0
REBECCA VALLANCE,Skirt,267.5,133.5
REEM ACRA,Top,1955.0,782.4
REJINA PYO,Dress,742.5,269.0
REJINA PYO,Jacket,445.0,222.0
REJINA PYO,Pants,395.0,197.0
REJINA PYO,Top,380.0,190.0
RICK OWENS,Pants,687.69,340.54
RICK OWENS,Dress,1018.43,467.77
RICK OWENS,Top,790.62,375.56
RICK OWENS,Jacket,1570.73,721.79
RICK OWENS,Skirt,646.79,294.86
ROKH,Skirt,612.62,309.62
ROKH,Top,462.22,240.56
ROKH,Jacket,942.75,446.0
ROKH,Pants,497.33,256.33
ROKSANDA,Pants,935.59,357.88
ROKSANDA,Jacket,1678.0,661.6
ROKSANDA,Skirt,1090.5,490.6
ROKSANDA,Top,788.1,366.79
ROLAND MOURET,Jacket,1553.64,720.09
ROLAND MOURET,Dress,2266.98,1018.48
ROLAND MOURET,Skirt,1040.38,430.23
ROLAND MOURET,Pants,1032.94,426.0
ROLAND MOURET,Top,921.07,407.22
ROSETTA GETTY,Top,796.55,331.27
ROSETTA GETTY,Skirt,987.5,353.5
ROSETTA GETTY,Jacket,1115.0,446.0
ROSETTA GETTY,Pants,851.25,366.0
ROSIE ASSOULIN,Skirt,1462.0,565.1
ROSIE ASSOULIN,Jacket,1490.0,543.5
ROSIE ASSOULIN,Pants,1315.45,483.18
ROSIE ASSOULIN,Top,1355.54,530.29
RTA,Pants,587.63,258.11
RTA,Top,270.03,117.16
RTA,Skirt,463.57,205.71
RTA,Jacket,781.0,379.5
SACAI,Jacket,1880.0,770.0
SAFIYAA,Jacket,1022.5,389.5
SAINT LAURENT,Skirt,2490.0,1170.0
SAINT LAURENT,Top,1258.52,691.17
SAINT LAURENT,Pants,1824.4,964.4
SAINT LAURENT,Jacket,3324.44,1892.78
SALONI,Top,320.62,150.5
SEA,Skirt,341.25,183.25
SEA,Pants,402.5,152.5
SEA,Top,279.29,117.0
SEE BY CHLOÉ,Pants,315.0,132.0
SEE BY CHLOÉ,Skirt,326.25,130.0
SEE BY CHLOÉ,Jacket,740.0,370.0
SEE BY CHLOÉ,Top,258.85,96.54
SELF-PORTRAIT,Top,280.0,163.8
SELF-PORTRAIT,Skirt,290.0,163.5
SID NEIGUM,Skirt,371.0,172.0
SIES MARJAN,Jacket,1196.67,470.33
SIES MARJAN,Top,691.67,331.67
SIES MARJAN,Skirt,815.0,347.5
SIES MARJAN,Pants,706.25,317.25
SILVIA TCHERASSI,Top,605.0,302.0
SILVIA TCHERASSI,Skirt,530.0,265.0
SIMONE ROCHA,Skirt,1255.0,512.25
SIMONE ROCHA,Pants,603.33,305.0
SIMONE ROCHA,Top,505.0,248.08
SOLACE LONDON,Pants,415.0,212.5
SOLACE LONDON,Top,325.0,167.57
SONIA RYKIEL,Pants,736.67,304.78
SPRWMN,Top,634.17,285.0
SPRWMN,Jacket,1760.0,792.0
SPRWMN,Skirt,1452.5,653.0
SPRWMN,Pants,1178.93,525.5
STAND STUDIO,Jacket,595.8,270.67
STAND STUDIO,Top,290.0,145.0
STAND STUDIO,Pants,359.67,178.67
STAND STUDIO,Skirt,332.33,169.33
TEMPERLEY LONDON,Skirt,1245.0,518.83
TEMPERLEY LONDON,Pants,644.17,279.0
TEMPERLEY LONDON,Top,567.06,261.0
TEMPERLEY LONDON,Jacket,972.5,447.88
THE RANGE,Top,147.17,78.33
THE RANGE,Pants,268.0,147.33
THE ROW,Top,1390.0,556.0
THE ROW,Pants,1602.85,732.15
THE ROW,Skirt,1887.5,736.0
THE ROW,Jacket,2382.5,857.5
THEORY,Skirt,384.0,176.87
THEORY,Jacket,640.19,277.04
THEORY,Top,284.21,127.21
THEORY,Pants,353.77,161.12
THOM BROWNE,Skirt,1540.0,770.0
THOM BROWNE,Jacket,2754.7,955.6
THOM BROWNE,Pants,955.0,382.0
THOM BROWNE,Top,1253.33,471.33
TIBI,Top,404.31,176.1
TIBI,Skirt,587.73,262.09
TIBI,Pants,552.06,246.29
TIBI,Jacket,730.71,300.14
TOM FORD,Top,1862.5,773.17
TOM FORD,Skirt,2276.67,953.0
TOM FORD,Jacket,2582.5,1085.0
TOM FORD,Pants,1096.25,494.75
TORY BURCH,Pants,342.0,162.7
TORY BURCH,Top,380.71,174.86
TORY BURCH,Skirt,835.83,421.0
ULLA JOHNSON,Skirt,620.0,310.0
ULLA JOHNSON,Pants,433.33,216.67
ULLA JOHNSON,Top,482.0,213.0
ULLA JOHNSON,Jacket,710.0,355.0
VALENTINO,Pants,1317.11,553.26
VALENTINO,Top,1462.31,532.54
VALENTINO,Jacket,3894.0,1331.6
VALENTINO,Dress,3943.77,1353.95
VALENTINO,Skirt,3129.32,1053.5
VANESSA BRUNO,Jacket,463.06,204.11
VANESSA BRUNO,Top,327.35,148.24
VANESSA BRUNO,Skirt,308.75,141.25
VANESSA BRUNO,Pants,286.67,119.93
VERONICA BEARD,Pants,482.14,212.0
VERONICA BEARD,Jacket,658.95,296.16
VERONICA BEARD,Skirt,436.67,178.17
VERONICA BEARD,Top,371.14,163.59
VERSACE,Dress,1716.36,620.09
VERSACE,Pants,770.62,267.88
VERSACE,Jacket,1498.75,590.88
VERSACE,Skirt,696.25,294.75
VERSACE,Top,690.83,259.33
VETEMENTS,Skirt,1715.0,482.5
VETEMENTS,Jacket,2655.0,1215.2
VETEMENTS,Pants,1100.0,561.0
VETEMENTS,Dress,1473.33,665.17
VICTORIA BECKHAM,Jacket,2027.5,878.75
VICTORIA BECKHAM,Dress,1983.57,906.63
VICTORIA BECKHAM,Pants,1010.2,434.0
VICTORIA BECKHAM,Skirt,1347.56,603.33
VICTORIA BECKHAM,Top,857.56,399.33
"VICTORIA, VICTORIA BECKHAM",Pants,555.0,264.82
"VICTORIA, VICTORIA BECKHAM",Skirt,496.54,238.62
"VICTORIA, VICTORIA BECKHAM",Jacket,853.33,383.58
"VICTORIA, VICTORIA BECKHAM",Top,377.78,189.0
VIVIENNE WESTWOOD,Top,747.5,351.5
WE ARE LEONE,Jacket,592.5,294.75
WOLFORD,Pants,162.5,96.0
WOLFORD,Top,181.25,113.17
YVES SALOMON,Jacket,2375.0,981.0
ZIMMERMANN,Jacket,1423.06,705.44
ZIMMERMANN,Top,569.61,291.01
ZIMMERMANN,Skirt,1000.67,489.0
ZIMMERMANN,Pants,662.91,336.22
